Group,Home,Away,Elo Home,Elo Away,dr,BK Home %,BK Draw %,BK Away %,Elo Home %,Elo Draw %,Elo Away %,Δ Home %,Δ Draw %,Δ Away %
A,Mexico,South Africa,1875,1518,357,66.7,22.7,10.5,82.3,12.8,5.0,15.5,-10.0,-5.6
A,South Korea,Czech Republic,1758,1740,18,35.6,30.0,34.3,38.6,27.9,33.5,3.0,-2.1,-0.9
B,Canada,Bosnia and Herzegovina,1788,1595,193,53.1,26.3,20.7,64.1,22.3,13.6,11.0,-4.0,-7.0
D,USA,Paraguay,1726,1833,-107,48.1,27.9,24.0,22.0,26.1,51.9,-26.1,-1.8,27.9
B,Qatar,Switzerland,1421,1891,-470,6.7,15.5,77.7,3.3,7.2,89.6,-3.4,-8.4,11.8
C,Brazil,Morocco,1991,1827,164,60.0,24.0,16.0,60.1,23.7,16.2,0.1,-0.3,0.2
C,Haiti,Scotland,1548,1782,-234,12.9,20.4,66.7,10.6,20.0,69.4,-2.3,-0.4,2.6
D,Australia,Turkey,1777,1911,-134,20.1,26.1,53.7,19.1,25.1,55.9,-1.1,-1.1,2.1
E,Germany,Curacao,1932,1434,498,93.8,4.7,1.5,90.0,6.7,3.3,-3.8,2.0,1.8
F,Netherlands,Japan,1948,1906,42,48.3,26.0,25.7,42.2,27.7,30.1,-6.1,1.7,4.5
E,Ivory Coast,Ecuador,1695,1938,-243,25.9,32.8,41.3,10.1,19.5,70.5,-15.8,-13.3,29.1
F,Sweden,Tunisia,1712,1628,84,49.1,28.1,22.8,48.5,26.8,24.7,-0.6,-1.4,2.0
H,Spain,Cape Verde,2157,1578,579,88.7,8.5,2.9,90.0,6.7,3.3,1.3,-1.8,0.4
G,Belgium,Egypt,1893,1696,197,57.3,23.9,18.8,64.6,22.0,13.3,7.3,-1.9,-5.4
H,Saudi Arabia,Uruguay,1569,1892,-323,12.9,21.5,65.5,6.1,14.7,79.2,-6.8,-6.8,13.6
G,Iran,New Zealand,1772,1562,210,50.5,27.4,22.1,66.3,21.3,12.3,15.9,-6.1,-9.8
I,France,Senegal,2063,1867,196,67.0,21.0,12.1,64.5,22.1,13.4,-2.5,1.1,1.3
I,Iraq,Norway,1618,1914,-296,6.5,13.9,79.6,7.2,16.3,76.4,0.8,2.4,-3.2
J,Argentina,Algeria,2114,1760,354,69.0,20.3,10.7,82.0,12.9,5.1,13.0,-7.4,-5.7
J,Austria,Jordan,1830,1680,150,72.7,17.6,9.7,58.2,24.4,17.5,-14.6,6.8,7.8
K,Portugal,DR Congo,1986,1661,325,77.1,15.3,7.6,79.3,14.6,6.0,2.3,-0.7,-1.6
L,England,Croatia,2021,1911,110,55.5,25.3,19.2,52.3,26.0,21.7,-3.2,0.7,2.5
K,Uzbekistan,Colombia,1714,1982,-268,11.3,20.8,67.9,8.6,18.0,73.4,-2.6,-2.8,5.5
L,Ghana,Panama,1510,1730,-220,48.9,26.1,25.1,11.6,20.8,67.6,-37.3,-5.3,42.6
A,Czech Republic,South Africa,1740,1518,222,46.5,29.6,23.8,67.9,20.7,11.5,21.3,-9.0,-12.4
B,Switzerland,Bosnia and Herzegovina,1891,1595,296,60.4,23.6,16.1,76.4,16.3,7.2,16.1,-7.2,-8.9
B,Canada,Qatar,1788,1421,367,72.1,19.5,8.5,83.1,12.2,4.7,11.0,-7.2,-3.8
A,Mexico,South Korea,1875,1758,117,51.8,27.4,20.8,53.4,25.7,20.9,1.6,-1.7,0.1
D,USA,Australia,1726,1777,-51,55.8,24.6,19.6,28.9,27.5,43.5,-26.9,3.0,23.9
C,Scotland,Morocco,1782,1827,-45,24.3,29.4,46.3,29.7,27.6,42.6,5.5,-1.8,-3.6
C,Brazil,Haiti,1991,1548,443,92.3,5.8,1.9,88.4,8.4,3.3,-3.9,2.5,1.4
D,Turkey,Paraguay,1911,1833,78,41.9,29.7,28.4,47.6,26.9,25.5,5.6,-2.7,-2.9
F,Netherlands,Sweden,1948,1712,236,57.4,24.7,17.9,69.6,19.9,10.5,12.2,-4.8,-7.4
E,Germany,Ivory Coast,1932,1695,237,62.1,21.9,16.0,69.7,19.8,10.5,7.7,-2.1,-5.6
E,Ecuador,Curacao,1938,1434,504,75.6,16.3,8.1,90.0,6.7,3.3,14.4,-9.6,-4.8
F,Tunisia,Japan,1628,1906,-278,20.1,27.6,52.2,8.1,17.4,74.5,-12.0,-10.2,22.3
H,Spain,Saudi Arabia,2157,1569,588,86.6,9.7,3.7,90.0,6.7,3.3,3.4,-3.0,-0.4
G,Belgium,Iran,1893,1772,121,67.3,20.5,12.2,54.0,25.6,20.5,-13.3,5.0,8.3
H,Uruguay,Cape Verde,1892,1578,314,66.5,21.4,12.1,78.3,15.3,6.5,11.8,-6.2,-5.6
G,New Zealand,Egypt,1562,1696,-134,17.9,25.9,56.2,19.1,25.1,55.9,1.2,-0.8,-0.4
J,Argentina,Austria,2114,1830,284,57.7,25.0,17.3,75.2,17.0,7.8,17.5,-8.0,-9.5
I,France,Iraq,2063,1618,445,87.6,9.0,3.4,88.4,8.3,3.3,0.9,-0.7,-0.1
I,Norway,Senegal,1914,1867,47,45.2,27.8,27.0,42.9,27.6,29.5,-2.3,-0.2,2.5
J,Jordan,Algeria,1680,1760,-80,17.4,24.6,58.0,25.2,26.9,47.9,7.8,2.3,-10.2
K,Portugal,Uzbekistan,1986,1714,272,78.0,15.0,7.0,73.8,17.8,8.4,-4.2,2.7,1.4
L,England,Ghana,2021,1510,511,73.0,18.8,8.2,90.0,6.7,3.3,17.0,-12.1,-4.9
L,Panama,Croatia,1730,1911,-181,13.6,23.3,63.1,14.6,22.9,62.5,1.1,-0.4,-0.6
K,Colombia,DR Congo,1982,1661,321,65.1,22.7,12.2,79.0,14.8,6.2,13.9,-7.9,-6.0
B,Switzerland,Canada,1891,1788,103,46.1,28.5,25.5,51.3,26.2,22.5,5.2,-2.2,-3.0
B,Bosnia and Herzegovina,Qatar,1595,1421,174,60.0,24.0,16.0,61.5,23.2,15.2,1.5,-0.8,-0.8
C,Scotland,Brazil,1782,1991,-209,11.4,19.4,69.2,12.4,21.4,66.2,1.0,2.0,-3.0
C,Morocco,Haiti,1827,1548,279,77.2,15.4,7.4,74.6,17.3,8.0,-2.5,1.9,0.6
A,Czech Republic,Mexico,1740,1875,-135,24.4,28.0,47.6,19.0,25.0,56.0,-5.4,-3.0,8.4
A,South Africa,South Korea,1518,1758,-240,24.4,28.7,46.9,10.3,19.6,70.1,-14.1,-9.1,23.2
E,Curacao,Ivory Coast,1434,1695,-261,9.7,17.6,72.7,9.0,18.4,72.6,-0.7,0.8,-0.1
E,Ecuador,Germany,1938,1932,6,19.0,24.3,56.7,36.9,28.0,35.2,17.9,3.7,-21.6
F,Tunisia,Netherlands,1628,1948,-320,14.7,22.8,62.5,6.2,14.9,78.9,-8.5,-7.9,16.4
F,Japan,Sweden,1906,1712,194,45.4,28.1,26.5,64.2,22.2,13.6,18.8,-5.9,-12.9
D,Paraguay,Australia,1833,1777,56,43.2,28.8,28.0,44.3,27.4,28.3,1.0,-1.4,0.3
D,Turkey,USA,1911,1726,185,34.6,28.0,37.4,63.0,22.7,14.3,28.4,-5.3,-23.0
I,Senegal,Iraq,1867,1618,249,66.5,21.4,12.1,71.2,19.1,9.7,4.7,-2.3,-2.4
I,Norway,France,1914,2063,-149,21.6,26.4,52.0,17.6,24.4,58.0,-4.0,-2.0,6.0
H,Cape Verde,Saudi Arabia,1578,1569,9,37.0,28.2,34.8,37.3,28.0,34.7,0.3,-0.3,-0.0
H,Uruguay,Spain,1892,2157,-265,17.4,24.6,58.0,8.8,18.2,73.1,-8.6,-6.4,15.0
G,New Zealand,Belgium,1562,1893,-331,8.1,16.3,75.6,5.8,14.3,79.9,-2.3,-2.0,4.3
G,Egypt,Iran,1696,1772,-76,41.0,31.7,27.3,25.7,27.0,47.3,-15.2,-4.7,20.0
L,Panama,England,1730,2021,-291,7.5,14.9,77.6,7.5,16.6,75.9,-0.0,1.7,-1.7
L,Croatia,Ghana,1911,1510,401,55.0,26.7,18.3,85.8,10.4,3.8,30.8,-16.3,-14.5
K,Colombia,Portugal,1982,1986,-4,27.6,28.0,44.3,35.4,28.0,36.6,7.8,-0.1,-7.7
K,DR Congo,Uzbekistan,1661,1714,-53,37.2,29.3,33.6,28.7,27.5,43.8,-8.5,-1.8,10.3
J,Jordan,Argentina,1680,2114,-434,5.2,13.1,81.8,3.3,8.8,87.9,-1.9,-4.3,6.2
J,Algeria,Austria,1760,1830,-70,27.9,29.6,42.5,26.5,27.1,46.4,-1.4,-2.5,3.9
